year,author,title,journal,url
2012,Sangxia Huang£¬Pinyan Lu,A Dichotomy for Real Weighted Holant Problems.,IEEE Conference on Computational Complexity2012:96-106,http://www.computer.org/csdl/proceedings/ccc/2012/4708/00/4708a096-abs.html
2012,Jin-Yi Cai£¬Xi Chen£¬Heng Guo£¬Pinyan Lu,Inapproximability after Uniqueness Phase Transition in Two-Spin Systems.,COCOA2012:336-347,http://download.springer.com/static/pdf/737/chp%253A10.1007%252F978-3-642-31770-5_30.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-31770-5_30&token2=exp=1459993263~acl=%2Fstatic%2Fpdf%2F737%2Fchp%25253A10.1007%25252F978-3-642-31770-5_30.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-31770-5_30*~hmac=52601cda2c228c6cac10a3fd822abd477919d4f02e6844ec9fa042cce28d7472
2012,Liang Li£¬Pinyan Lu£¬Yitong Yin,Approximate counting via correlation decay in spin systems.,SODA2012:922-940,http://dl.acm.org/citation.cfm?id=2095190
2012,Xiaohui Bei£¬Ning Chen£¬Nick Gravin£¬Pinyan Lu,Budget feasible mechanism design: from prior-free to bayesian,STOC2012:449-458,http://dl.acm.org/citation.cfm?doid=2213977.2214020
2011,Jin-yi Cai£¬Pinyan Lu,Signature Theory in Holographic Algorithms.,Algorithmica61(4):779-816(2011),http://download.springer.com/static/pdf/766/art%253A10.1007%252Fs00453-009-9383-3.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00453-009-9383-3&token2=exp=1459993451~acl=%2Fstatic%2Fpdf%2F766%2Fart%25253A10.1007%25252Fs00453-009-9383-3.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00453-009-9383-3*~hmac=ee280a693ef9316d5cf2c35a3414d32b7941ed838f3a5ada572a39a38cf40f2a
2011,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,A computational proof of complexity of some restricted counting problems,Theor. Comput. Sci.412(23):2468-2485(2011),http://ac.els-cdn.com/S0304397510006018/1-s2.0-S0304397510006018-main.pdf?_tid=9d69817a-fc5f-11e5-9648-00000aab0f26&acdnat=1459992509_f1fd55ec5f7923eb3b2b1e4661049685
2011,Jin-yi Cai£¬Pinyan Lu,Holographic algorithms: From art to science.,J. Comput. Syst. Sci.77(1):41-61(2011),http://ac.els-cdn.com/S0022000010000899/1-s2.0-S0022000010000899-main.pdf?_tid=c296d628-fc5f-11e5-8a06-00000aacb360&acdnat=1459992572_2bd51bad985f269deae95a2a9d634e58
2011,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,Computational Complexity of Holant Problems.,SIAM J. Comput.40(4):1101-1132(2011),http://epubs.siam.org/doi/pdf/10.1137/100814585
2011,Jin-yi Cai£¬Xi Chen£¬Pinyan Lu,Non-negatively Weighted #CSP: An Effective Complexity Dichotomy.,IEEE Conference on Computational Complexity2011:45-54,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5959820
2011,Heng Guo£¬Pinyan Lu£¬Leslie G. Valiant,The Complexity of Symmetric Boolean Parity Holant Problems - (Extended Abstract).,ICALP (1)2011:712-723,http://download.springer.com/static/pdf/544/chp%253A10.1007%252F978-3-642-22006-7_60.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-22006-7_60&token2=exp=1459993769~acl=%2Fstatic%2Fpdf%2F544%2Fchp%25253A10.1007%25252F978-3-642-22006-7_60.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-22006-7_60*~hmac=344c761109570854fc7e9189a69fbfc5b4e4cca140b35ac8af00075ecafa4f53
2011,Ning Chen£¬Nick Gravin£¬Pinyan Lu,On the Approximability of Budget Feasible Mechanisms.,SODA2011:685-699,http://epubs.siam.org/doi/pdf/10.1137/1.9781611973082.54
2011,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,Dichotomy for Holant* Problems of Boolean Domain.,SODA2011:1714-1728,http://epubs.siam.org/doi/pdf/10.1137/1.9781611973082.132
2011,Wei Chen£¬Pinyan Lu£¬Xiaorui Sun£¬Bo Tang£¬Yajun Wang£¬Zeyuan Allen Zhu,Optimal Pricing in Social Networks with Incomplete Information,WINE2011:49-60,http://download.springer.com/static/pdf/165/chp%253A10.1007%252F978-3-642-25510-6_5.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-25510-6_5&token2=exp=1459994518~acl=%2Fstatic%2Fpdf%2F165%2Fchp%25253A10.1007%25252F978-3-642-25510-6_5.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-25510-6_5*~hmac=ba575cade9d3fc617576edf8c760174e37d7f1555e2c0563f2a20986065430c8
2011,Xue Chen£¬Guangda Hu£¬Pinyan Lu£¬Lei Wang,On the Approximation Ratio of k-Lookahead Auction.,WINE2011:61-71,http://download.springer.com/static/pdf/166/chp%253A10.1007%252F978-3-642-25510-6_6.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-25510-6_6&token2=exp=1459994550~acl=%2Fstatic%2Fpdf%2F166%2Fchp%25253A10.1007%25252F978-3-642-25510-6_6.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-25510-6_6*~hmac=74ba820b774a1f9666191f85cc9828493093ae2b0b27c56cee7d02ccadd5e8e1
2011,Heng Guo£¬Sangxia Huang£¬Pinyan Lu£¬Mingji Xia,The Complexity of Weighted Boolean #CSP Modulo k.,STACS2011:249-260,http://drops.dagstuhl.de/opus/volltexte/2011/3015/pdf/25.pdf
2010,Jin-yi Cai£¬Pinyan Lu,On blockwise symmetric signatures for matchgates.,Theor. Comput. Sci.411(4-5):739-750(2010),http://ac.els-cdn.com/S0304397509007543/1-s2.0-S0304397509007543-main.pdf?_tid=40574fc8-fc62-11e5-883b-00000aab0f6b&acdnat=1459993642_0ad52f7ba9a94447ac1af1449ad0c77e
2010,Jin-yi Cai£¬Pinyan Lu,On Symmetric Signatures in Holographic Algorithms.,Theory Comput. Syst.46(3):398-415(2010),http://download.springer.com/static/pdf/890/art%253A10.1007%252Fs00224-009-9229-z.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00224-009-9229-z&token2=exp=1459994711~acl=%2Fstatic%2Fpdf%2F890%2Fart%25253A10.1007%25252Fs00224-009-9229-z.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00224-009-9229-z*~hmac=2a3a7548076dd7aaadae517a70a7d2f6ed68861a95e4d1b6ee59f7c5f3bfe357
2010,Pinyan Lu£¬Xiaorui Sun£¬Yajun Wang£¬Zeyuan Allen Zhu,Asymptotically optimal strategy-proof mechanisms for two-facility games.,EC2010:315-324,http://dl.acm.org/citation.cfm?doid=1807342.1807393
2010,Jin-yi Cai£¬Xi Chen£¬Richard J. Lipon£¬Pinyan Lu,On Tractable Exponential Sums.,FAW2010:148-159,http://arxiv.org/pdf/1005.2632v1.pdf
2010,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,Holographic Algorithms with Matchgates Capture Precisely Tractable Planar_#CSP.,FOCS2010:427-436,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5671232
2010,Jin-yi Cai£¬Xi Chen£¬Pinyan Lu,Graph Homomorphisms with Complex Values: A Dichotomy Theorem.,ICALP (1)2010:275-286,http://download.springer.com/static/pdf/726/chp%253A10.1007%252F978-3-642-14165-2_24.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-14165-2_24&token2=exp=1459994994~acl=%2Fstatic%2Fpdf%2F726%2Fchp%25253A10.1007%25252F978-3-642-14165-2_24.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-14165-2_24*~hmac=f63ccb36f1c2971ce907f4c1c1cf9f60427453eacf098aeaa263117cc230d3f6
2010,Jin-yi Cai£¬Sangxia Huang£¬Pinyan Lu,From Holant to #CSP and Back: Dichotomy for HolantcProblems.,ISAAC (1)2010:253-265,http://arxiv.org/pdf/1004.0803v1.pdf
2010,Sungjin Im£¬Pinyan Lu£¬Yajun Wang,Envy-Free Pricing with General Supply Constraints.,WINE 2010:483-491,http://download.springer.com/static/pdf/153/chp%253A10.1007%252F978-3-642-17572-5_41.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-17572-5_41&token2=exp=1459995055~acl=%2Fstatic%2Fpdf%2F153%2Fchp%25253A10.1007%25252F978-3-642-17572-5_41.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-17572-5_41*~hmac=b268c4386657dd31c43b7c193ece39a4c9ec65627e6286c856b0b328ef9d1221
2009,Jin-yi Cai£¬Vinay Choudhary£¬Pinyan Lu,On the Theory of Matchgate Computations.,Theory Comput. Syst.45(1):108-132(2009),http://download.springer.com/static/pdf/370/art%253A10.1007%252Fs00224-007-9092-8.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00224-007-9092-8&token2=exp=1459995095~acl=%2Fstatic%2Fpdf%2F370%2Fart%25253A10.1007%25252Fs00224-007-9092-8.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00224-007-9092-8*~hmac=b2c9658f16bf01cc6b0270fa2ad76ba40d9e5498e37cc1d11007b78596febfcd
2009,Jin-yi Cai£¬Pinyan Lu,Holographic algorithms: The power of dimensionality resolved.,Theor. Comput. Sci.410(18):1618-1628(2009),http://ac.els-cdn.com/S0304397508009298/1-s2.0-S0304397508009298-main.pdf?_tid=56333e50-fc63-11e5-989d-00000aab0f6b&acdnat=1459994108_b8f7733d467e97581af6db73842e025a
2009,Pinyan Lu,On 2-Player Randomized Mechanisms for Scheduling.,WINE2009:30-41,http://download.springer.com/static/pdf/69/chp%253A10.1007%252F978-3-642-10841-9_5.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-10841-9_5&token2=exp=1459995161~acl=%2Fstatic%2Fpdf%2F69%2Fchp%25253A10.1007%25252F978-3-642-10841-9_5.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-10841-9_5*~hmac=ba92a5fa6ba7da26702f820db70de058768f74c49ff3e35f0be1c2ee99a1c990
2009,Pinyan Lu£¬Yajun Wang£¬Yuan Zhou,Tighter Bounds for Facility Games.,WINE2009:137-148,http://download.springer.com/static/pdf/279/chp%253A10.1007%252F978-3-642-10841-9_14.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-10841-9_14&token2=exp=1459995187~acl=%2Fstatic%2Fpdf%2F279%2Fchp%25253A10.1007%25252F978-3-642-10841-9_14.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-10841-9_14*~hmac=c04a9832e526aa6e509872f6c8a740d29830455d0306eeb0b5bae8f14441a7c5
2009,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,Holant problems and counting CSP.,STOC2009:715-724,http://dl.acm.org/citation.cfm?doid=1536414.1536511
2009,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,A Computational Proof of Complexity of Some Restricted Counting Problems.,TAMC2009:138-149,http://download.springer.com/static/pdf/468/chp%253A10.1007%252F978-3-642-02017-9_17.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-642-02017-9_17&token2=exp=1459995269~acl=%2Fstatic%2Fpdf%2F468%2Fchp%25253A10.1007%25252F978-3-642-02017-9_17.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-642-02017-9_17*~hmac=3ec1f5c09723682909da1188cb06f3f0187e6a0cc907c592d1e34deb7c79f1bf
2008,Jin-yi Cai£¬Pinyan Lu,Basis Collapse in Holographic Algorithms.,Computational Complexity17(2):254-281(2008),http://download.springer.com/static/pdf/258/art%253A10.1007%252Fs00037-008-0249-x.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00037-008-0249-x&token2=exp=1459995326~acl=%2Fstatic%2Fpdf%2F258%2Fart%25253A10.1007%25252Fs00037-008-0249-x.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00037-008-0249-x*~hmac=95a74c4daa85ba2269e5e239c7d03c4b0868f90f36cbb180a7ffbb19addc4833
2008,Pinyan Lu£¬Changyuan Yu,An Improved Randomized Truthful Mechanism for Scheduling Unrelated Machines.,STACS2008:527-538,http://drops.dagstuhl.de/opus/volltexte/2008/1314/pdf/22011.LuPinyan.Paper.1314.pdf
2008,Pinyan Lu£¬Changyuan Yu,Worst-Case Nash Equilibria in Restricted Routing.,WINE2008:231-238,http://download.springer.com/static/pdf/661/chp%253A10.1007%252F978-3-540-92185-1_30.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-540-92185-1_30&token2=exp=1459995700~acl=%2Fstatic%2Fpdf%2F661%2Fchp%25253A10.1007%25252F978-3-540-92185-1_30.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-540-92185-1_30*~hmac=4ab424dab70c78f3f80b9385c3172b88362d7564a77663958a6a6824c18d035a
2008,Pinyan Lu£¬ Changyuan Yu,Randomized Truthful Mechanisms for Scheduling Unrelated Machines.,WINE2008:402-413,http://download.springer.com/static/pdf/624/chp%253A10.1007%252F978-3-540-92185-1_46.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-540-92185-1_46&token2=exp=1459995742~acl=%2Fstatic%2Fpdf%2F624%2Fchp%25253A10.1007%25252F978-3-540-92185-1_46.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-540-92185-1_46*~hmac=6d131db0f016edd45a94699883f6ee8838daf081c4b3e7a274198664414aad14
2008,Jin-yi Cai£¬Pinyan Lu£¬Mingji Xia,Holographic Algorithms by Fibonacci Gates and Holographic Reductions for Hardness.,FOCS2008:644-653,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=4690997
2008,Jin-yi Cai£¬Pinyan Lu,Signature Theory in Holographic Algorithms.,ISAAC2008:568-579,http://download.springer.com/static/pdf/842/chp%253A10.1007%252F978-3-540-92182-0_51.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-540-92182-0_51&token2=exp=1459998133~acl=%2Fstatic%2Fpdf%2F842%2Fchp%25253A10.1007%25252F978-3-540-92182-0_51.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-540-92182-0_51*~hmac=0c8228e24da3feae3dceb154bccb3529feeacf9c29401202bfaad20f366d57b8
2008,Jin-yi Cai£¬Pinyan Lu,Holographic algorithms with unsymmetric signatures.,SODA2008:54-63,http://dl.acm.org/citation.cfm?id=1347082.1347089
2007,Jin-yi Cai£¬Pinyan Lu,Bases Collapse in Holographic Algorithms.,IEEE Conference on Computational Complexity2007:292-304,http://www.computer.org/csdl/proceedings/ccc/2007/2780/00/27800292-abs.html
2007,Jin-yi Cai£¬Vinay Choudhary£¬Pinyan Lu,On the Theory of Matchgate Computations.,IEEE Conference on Computational Complexity2007:305-318,http://www.computer.org/csdl/proceedings/ccc/2007/2780/00/27800305-abs.html
2007,Jin-yi Cai£¬Pinyan Lu,On Block-Wise Symmetric Signatures for Matchgates.,FCT2007:187-198,http://eccc.hpi-web.de/eccc-reports/2007/TR07-019/index.html
2007,Jin-yi Cai£¬Pinyan Lu,Holographic Algorithms: The Power of Dimensionality Resolved.,ICALP2007:631-642,http://download.springer.com/static/pdf/466/chp%253A10.1007%252F978-3-540-73420-8_55.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-540-73420-8_55&token2=exp=1459998448~acl=%2Fstatic%2Fpdf%2F466%2Fchp%25253A10.1007%25252F978-3-540-73420-8_55.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-540-73420-8_55*~hmac=e19f1882be1e48a05c751364f0c0e43ad5044af1b7e170db950dba72cccbf5d1
2007,Jin-yi Cai£¬Pinyan Lu,On Symmetric Signatures in Holographic Algorithms.,STACS2007:429-440,http://download.springer.com/static/pdf/722/chp%253A10.1007%252F978-3-540-70918-3_37.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F978-3-540-70918-3_37&token2=exp=1459998487~acl=%2Fstatic%2Fpdf%2F722%2Fchp%25253A10.1007%25252F978-3-540-70918-3_37.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F978-3-540-70918-3_37*~hmac=51473763c7db52845d57c61ff76f188f16850b16d8f1b32d72a4d3c4c4d484ea
2007,Jin-yi Cai£¬Pinyan Lu,Holographic algorithms: from art to science.,STOC2007:401-410,http://dl.acm.org/citation.cfm?doid=1250790.1250850
2006,Pinyan Lu£¬Shang-Hua Teng£¬Changyuan Yu,Truthful Auctions with Optimal Profit.,WINE2006:27-36,http://download.springer.com/static/pdf/37/chp%253A10.1007%252F11944874_4.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Fchapter%2F10.1007%2F11944874_4&token2=exp=1459998579~acl=%2Fstatic%2Fpdf%2F37%2Fchp%25253A10.1007%25252F11944874_4.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Fchapter%252F10.1007%252F11944874_4*~hmac=d49c99e952a7907089728c41adc52f018c81639ef8b9b3420a11387bc5fb5b54
